Posição,País,Habitantes (est. até 2013)
1,República Popular da China,1354040000
2,Índia,1220800359
3,Estados Unidos,316438601
4,Indonésia,251160124
5,Brasil,201032714
6,Paquistão,193238868
7,Nigéria,174507539
8,Bangladesh,163654860
9,Rússia,142500482
10,Japão,127253075
11,México,118818228
12,Filipinas,105720644
13,Etiópia,93877025
14,Vietname,92477857
15,Egito,85294388
16,Alemanha,81147265
17,Turquia,80694485
18,Irã,79853900
19,República Democrática do Congo,75507308
20,Tailândia,67497151
21,França,65951611
22,Reino Unido,63395574
23,Itália,61482297
24,Myanmar,55167330
25,Coreia do Sul,48955203
26,África do Sul,48601098
27,Tanzânia,42746620
28,Espanha,47370542
29,Colômbia,45745783
30,Ucrânia,44573205
31,Quênia,44037656
32,Argentina,42610981
33,Polónia,38383809
34,Argélia,38087812
35,Sudão,34847910
36,Uganda,34758809
37,Canadá,34568211
38,Marrocos,32649130
39,Iraque,31858481
40,Afeganistão,31108077
41,Nepal,29391883
42,Peru,29248943
43,Malásia,28728607
44,Uzbequistão,28128600
45,Venezuela,27635743
46,Arábia Saudita,26131703
47,Gana,24791073
48,Coreia do Norte,24457492
49,Iémen/Iêmen,24133492
-,Taiwan,23071779
50,Moçambique,22948858
51,Síria,22517750
52,Madagáscar,21926221
53,Roménia,21904551
54,Austrália,21766711
55,Costa do Marfim,21504162
56,Sri Lanka,21283913
57,Camarões,18467692
58,Países Baixos,16645313
59,Chile,16454143
60,Cazaquistão,15340533
61,Burkina Faso,15264735
62,Níger,14752080
63,Equador,14354469
64,Camboja,14241640
65,Malawi,13931831
66,Senegal,13343424
67,Guatemala,13002206
68,Angola,12531357
69,Mali,12324029
70,Zâmbia,11669534
71,Cuba,11423952
72,Zimbabwe,11350111
73,Grécia,10722816
74,Portugal,10676910
75,Bélgica,10403951
76,Tunísia,10383577
77,República Checa,10220911
78,Ruanda,10186063
79,Chade,10111337
80,Hungria,9930915
81,Guiné,9806509
82,Bielorrússia,9685768
83,Bolívia,9601257
84,Somália,9558666
85,República Dominicana,9507133
86,Suécia,9045389
87,Haiti,8871445
88,Burundi,8691005
89,Benim,8532547
90,Sudão do Sul,8260490
91,Áustria,8205533
92,Azerbaijão,8177717
93,Honduras,7639327
94,Suíça,7581520
95,Sérvia,7413882
96,Bulgária,7262675
97,Tajiquistão,7211884
98,Israel,7112359
99,El Salvador,7066403
--,Hong Kong (República Popular da China),7018636
100,Paraguai,6831306
101,Laos,6677534
102,Serra Leoa,6294774
103,Jordânia,6198677
